Property + Unit +Room	Property	Unit	Room
1429 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM5	1429 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		5
1429 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM4	1429 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		4
1429 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1429 South New Hampshire Avenue, Los Angeles, CA, USA		3
1429 South New Hampshire Avenue, Los Angeles, CA, USA RM1	1429 South New Hampshire Avenue, Los Angeles, CA, USA		1
1429 South New Hampshire Avenue, Los Angeles, CA, USA RM5	1429 South New Hampshire Avenue, Los Angeles, CA, USA		5
1429 South New Hampshire Avenue, Los Angeles, CA, USA RM4	1429 South New Hampshire Avenue, Los Angeles, CA, USA		4
1441 West 37th Drive, Los Angeles, CA, USA RM205	1441 West 37th Drive, Los Angeles, CA, USA		205
1443 1/4 West 37th Drive, Los Angeles, CA, USA RMWhole Unit	1443 1/4 West 37th Drive, Los Angeles, CA, USA		Whole Unit
1451 West 36th Place, Los Angeles, CA, USA RM2	1451 West 36th Place, Los Angeles, CA, USA		2
1451 West 36th Place, Los Angeles, CA, USA RM8	1451 West 36th Place, Los Angeles, CA, USA		8
1451 West 36th Place, Los Angeles, CA, USA RM7	1451 West 36th Place, Los Angeles, CA, USA		7
1451 West 36th Place, Los Angeles, CA, USA RM5	1451 West 36th Place, Los Angeles, CA, USA		5
1451 West 36th Place, Los Angeles, CA, USA RM3	1451 West 36th Place, Los Angeles, CA, USA		3
1451 West 36th Place, Los Angeles, CA, USA RM1	1451 West 36th Place, Los Angeles, CA, USA		1
1451 West 36th Place, Los Angeles, CA, USA RM6	1451 West 36th Place, Los Angeles, CA, USA		6
1453 West 36th Place, Los Angeles, CA, USA RM7	1453 West 36th Place, Los Angeles, CA, USA		7
1455 1/2 West 36th Street, Los Angeles, CA, USA RM301	1455 1/2 West 36th Street, Los Angeles, CA, USA		301
1455 1/2 West 36th Street, Los Angeles, CA, USA RM302	1455 1/2 West 36th Street, Los Angeles, CA, USA		302
1455 1/2 West 36th Street, Los Angeles, CA, USA RM101	1455 1/2 West 36th Street, Los Angeles, CA, USA		101
1455 1/2 West 36th Street, Los Angeles, CA, USA RM205	1455 1/2 West 36th Street, Los Angeles, CA, USA		205
1455 1/2 West 36th Street, Los Angeles, CA, USA RM203	1455 1/2 West 36th Street, Los Angeles, CA, USA		203
1455 1/2 West 36th Street, Los Angeles, CA, USA RM201	1455 1/2 West 36th Street, Los Angeles, CA, USA		201
1455 1/2 West 36th Street, Los Angeles, CA, USA RM103	1455 1/2 West 36th Street, Los Angeles, CA, USA		103
1455 1/2 West 36th Street, Los Angeles, CA, USA RM204	1455 1/2 West 36th Street, Los Angeles, CA, USA		204
1455 1/2 West 36th Street, Los Angeles, CA, USA RM303	1455 1/2 West 36th Street, Los Angeles, CA, USA		303
1455 1/2 West 36th Street, Los Angeles, CA, USA RM202	1455 1/2 West 36th Street, Los Angeles, CA, USA		202
1455 1/2 West 36th Street, Los Angeles, CA, USA RM304	1455 1/2 West 36th Street, Los Angeles, CA, USA		304
1455 1/2 West 36th Street, Los Angeles, CA, USA RM102	1455 1/2 West 36th Street, Los Angeles, CA, USA		102
1455 1/2 West 36th Street, Los Angeles, CA, USA RM306	1455 1/2 West 36th Street, Los Angeles, CA, USA		306
1458 West 37th Street, Los Angeles, CA, USA RM202	1458 West 37th Street, Los Angeles, CA, USA		202
